Timestamp,Name,CPU,Memory
2024-11-06 12:47:45,minikube,13.74%,59.23%
2024-11-06 12:47:45,me-load_balancer-1,0.11%,0.85%
2024-11-06 12:47:45,me-blog-1,0.00%,14.17%
2024-11-06 12:47:57,minikube,9.81%,59.18%
2024-11-06 12:47:57,me-load_balancer-1,0.21%,0.85%
2024-11-06 12:47:57,me-blog-1,0.00%,14.17%
2024-11-06 12:48:10,minikube,10.58%,59.16%
2024-11-06 12:48:10,me-load_balancer-1,0.27%,0.85%
2024-11-06 12:48:10,me-blog-1,0.00%,14.16%
2024-11-06 12:48:22,minikube,19.14%,59.15%
2024-11-06 12:48:22,me-load_balancer-1,0.13%,0.85%
2024-11-06 12:48:22,me-blog-1,0.00%,14.16%
2024-11-06 12:48:35,minikube,15.40%,59.15%
2024-11-06 12:48:35,me-load_balancer-1,0.24%,0.85%
2024-11-06 12:48:35,me-blog-1,0.01%,14.16%
2024-11-06 12:48:47,minikube,12.20%,59.20%
2024-11-06 12:48:47,me-load_balancer-1,0.25%,0.85%
2024-11-06 12:48:47,me-blog-1,0.01%,14.13%
2024-11-06 12:49:00,minikube,11.68%,59.08%
2024-11-06 12:49:00,me-load_balancer-1,0.16%,0.85%
2024-11-06 12:49:00,me-blog-1,0.00%,14.13%
2024-11-06 12:49:12,minikube,11.32%,59.03%
2024-11-06 12:49:12,me-load_balancer-1,0.12%,0.85%
2024-11-06 12:49:12,me-blog-1,0.00%,14.11%
2024-11-06 12:49:25,minikube,20.70%,59.12%
2024-11-06 12:49:25,me-load_balancer-1,0.18%,0.85%
2024-11-06 12:49:25,me-blog-1,0.01%,14.11%
2024-11-06 12:49:37,minikube,10.13%,59.07%
2024-11-06 12:49:37,me-load_balancer-1,0.18%,0.85%
2024-11-06 12:49:37,me-blog-1,0.00%,14.11%
2024-11-06 12:49:50,minikube,10.27%,59.07%
2024-11-06 12:49:50,me-load_balancer-1,0.13%,0.85%
2024-11-06 12:49:50,me-blog-1,0.00%,14.11%
